City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
京都,,,,,
,オープンオフィス京都烏丸,"¥9,900",-,"¥14,900",-
,オープンオフィス京都河原町御池,"¥9,900","¥13,900","¥14,900",-
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
仙台,,,,,
,オープンオフィス仙台青葉通り,"¥9,900","¥13,900","¥15,900",-
,オープンオフィス仙台駅前,"¥14,900",-,"¥20,900",-
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
千葉,,,,,
,千葉大栄ビル,"¥9,900","¥18,900","¥22,900","¥27,900"
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
博多,,,,,
,JRJP博多ビル,"¥17,900","¥24,900","¥31,900","¥39,900"
,アクア博多,"¥11,900","¥13,900","¥19,900","¥26,900"
,オープンオフィス博多駅前通り,"¥9,900",-,"¥18,900",-
,博多駅筑紫口,"¥9,900","¥13,900","¥17,900","¥21,900"
,福岡天神南,"¥11,900","¥13,900","¥18,900","¥25,900"
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
名古屋,,,,,
,名古屋栄ガスビルディング,"¥9,900","¥16,900","¥18,900","¥23,900"
,オープンオフィス名古屋丸の内,"¥13,900","¥16,900","¥18,900",-
,名駅,"¥14,900","¥18,900","¥30,900","¥41,900"
,広小路ガーデンアベニュー,"¥11,900","¥18,900","¥27,900","¥39,900"
,オープンオフィス名駅南,"¥14,900",-,"¥19,900",-
,名古屋駅東口,"¥9,900","¥18,900","¥19,900","¥24,900"
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
大分,,,,,
,オープンオフィス大分,"¥9,900",-,"¥15,900",-
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
大阪,,,,,
,オープンオフィス新大阪北,"¥7,900","¥18,900","¥19,900",-
,梅田阪急グランドビル,"¥17,900","¥18,900","¥30,900","¥41,900"
,阪急ターミナルビル,"¥17,900","¥18,900","¥30,900","¥41,900"
,大阪国際ビルディング,"¥14,900","¥18,900","¥25,900","¥36,900"
,新大阪阪急ビル,"¥11,900","¥18,900","¥24,900","¥35,900"
,パシフィックマークス西梅田,"¥11,900","¥18,900","¥23,900","¥34,900"
,オープンオフィス京阪淀屋橋,"¥9,900","¥13,900","¥15,900",-
,なんばパークス,"¥11,900","¥18,900","¥25,900","¥32,900"
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
小倉,,,,,
,オープンオフィス小倉,"¥9,900",-,"¥15,900",-
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
岡山,,,,,
,岡山第一セントラル,"¥9,900","¥13,900","¥15,900","¥20,900"
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
広島,,,,,
,ひろしまハイビル21,"¥9,900","¥18,900","¥25,900","¥31,900"
,オープンオフィス広島大手町,"¥7,900",-,"¥21,900",-
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
新潟,,,,,
,オープンオフィス新潟,"¥11,900",-,"¥20,900",-
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
札幌,,,,,
,札幌大通,¥14.900,"¥18,900","¥19,900","¥25,900"
,オープンオフィス札幌南,"¥7,900","¥13,900","¥15,900",-
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
東京,,,,,
,丸の内パシフィックセンチュリープレイス,"¥20,900","¥24,900","¥41,900","¥60,900"
,丸の内鉄鋼ビルディング,"¥20,900","¥24,900","¥41,900","¥60,900"
,大手町ファーストスクエア,"¥17,900","¥24,900","¥34,900","¥49,900"
,秋葉原南,"¥7,900","¥24,900","¥25,900","¥29,900"
,麹町,"¥7,900","¥24,900","¥25,900","¥29,900"
,オープンオフィス神保町,"¥9,900",-,"¥25,900",-
,銀座三丁目,"¥17,900","¥24,900","¥37,900","¥48,900"
,銀座一丁目,"¥17,900","¥24,900","¥34,900","¥41,900"
,八重洲通り,"¥13,900","¥23,900","¥32,900","¥41,900"
,日本橋兜町,"¥14,900","¥24,900","¥25,900","¥34,900"
,オープンオフィス日本橋箱崎,"¥9,900",-,"¥14,900",-
,赤坂Kタワー,"¥20,900","¥24,900","¥41,900","¥50,900"
,青山プラースカナダ,"¥17,900","¥18,900","¥30,900","¥41,900"
,麻布グリーンテラス,"¥17,900","¥24,900","¥34,900","¥42,900"
,汐留ビルディング,"¥11,900","¥24,900","¥28,900","¥43,900"
,神谷町MTビル,"¥14,900","¥24,900","¥30,900","¥44,900"
,六本木駅前,"¥14,900","¥24,900","¥34,900","¥45,900"
,芝大門,"¥7,900","¥24,900","¥26,900","¥34,900"
,品川イーストワンタワー,"¥20,900","¥24,900","¥37,900","¥49,900"
,オープンオフィス西新橋,"¥7,900",-,"¥14,900",-
,オープンオフィス青山セントラル,"¥11,900",-,"¥20,900",-
,オープンオフィス乃木坂,"¥7,900",-,"¥17,900",-
,オープンオフィス南青山,"¥11,900",-,"¥17,900",-
,オープンオフィス赤坂ビジネスプレイス,"¥14,900",-,"¥20,900",-
,オープンオフィス赤坂見附,"¥7,900",-,"¥18,900",-
,オープンオフィス溜池山王,"¥11,900",-,"¥23,900",-
,オープンオフィス麻布十番,"¥11,900",-,"¥15,900",-
,渋谷マークシティ,"¥17,900","¥24,900","¥34,900","¥50,900"
,渋谷グラスシティ,"¥9,900","¥18,900","¥22,900","¥29,900"
,恵比寿,"¥14,900","¥18,900","¥25,900","¥37,900"
,恵比寿南,"¥14,900","¥18,900","¥30,900","¥39,900"
,代官山,"¥11,900","¥18,900","¥25,900","¥32,900"
,原宿,"¥9,900","¥18,900","¥22,900","¥29,900"
,広尾,"¥14,900","¥24,900","¥30,900","¥39,900"
,オープンオフィス渋谷神南,"¥9,900",-,"¥24,900",-
,オープンオフィス渋谷Hills,"¥7,900",-,"¥15,900",-
,オープンオフィス渋谷TOC,"¥7,900",-,"¥19,900",-
,新宿西口,"¥17,900","¥18,900","¥32,900","¥46,900"
,新宿南口,"¥11,900","¥18,900","¥27,900","¥37,900"
,新宿パークタワー,"¥17,900","¥18,900","¥32,900","¥46,900"
,オープンオフィス池袋南,"¥11,900","¥13,900","¥16,900",-
,中野サンプラザ,"¥9,900","¥18,900","¥23,900","¥41,900"
,錦糸町アルカセントラル,"¥9,900","¥24,900","¥27,900","¥36,900"
,オープンオフィス立川駅南,"¥9,900","¥18,900","¥21,900",-
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
横浜,,,,,
,横浜駅西口,"¥9,900","¥13,900","¥18,900","¥22,900"
,関内,"¥7,900","¥18,900","¥23,900","¥29,900"
,新横浜,"¥14,900","¥18,900","¥24,900","¥30,900"
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
水戸,,,,,
,オープンオフィス水戸,"¥9,900",-,"¥14,900",-
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
浜松,,,,,
,浜松駅南口,"¥9,900","¥13,900","¥20,900","¥26,900"
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
熊本,,,,,
,オープンオフィス熊本銀座通り,"¥9,900",-,"¥13,900",-
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
神戸,,,,,
,神戸国際会館,"¥14,900","¥18,900","¥29,900","¥40,000"
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
那覇,,,,,
,ホークシティ那覇,"¥11,900","¥18,900","¥24,900","¥29,900"
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
金沢,,,,,
,金沢駅東,"¥11,900","¥18,900","¥20,900","¥26,900"
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
青森,,,,,
,アクア青森スクエア,"¥7,900","¥13,900","¥14,900","¥17,900"
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
高松,,,,,
,高松,"¥9,900","¥13,900","¥15,900","¥17,900"
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
鹿児島,,,,,
,鹿児島天文館,"¥11,900","¥18,900","¥22,900","¥27,900"
,,,,,
